coherence_score,silhouette_score,avg_of_coherence_and_silhouette,num_topics,withoutNoiseNumTopics
0.49075254929877277,0.062035795,0.27639417229998586,4,4
0.4965692325641117,0.06221442,0.2793918259049158,5,5
0.4917767862385691,0.05667999,0.2742283881905765,6,6
0.5050305761852706,0.05003515,0.2775328625221473,7,7
0.49910114358207747,0.050152063,0.2746266034759142,8,8
0.49672462633968156,0.041919827,0.26932222690046215,9,9
0.4949475261000675,0.037297502,0.26612251413006993,10,10
0.49860788438671017,0.034988835,0.2667983599203486,11,11
0.4987035109943931,0.031340875,0.2650221928629669,12,12
0.5062115560196042,0.032027144,0.2691193500023186,13,13
0.5043819529118178,0.031624258,0.2680031052381812,14,14
0.5111999380907848,0.029748255,0.2704740967388667,15,15
0.5139229795635376,0.029065786,0.27149438274654913,16,16
0.5206577858939767,0.028369911,0.2745138484545052,17,17
0.5206581625123087,0.02896445,0.2748113065475853,18,18
0.5258271866483905,0.029574128,0.27770065725810417,19,19
0.5174360587116423,0.029296836,0.2733664472980471,20,20
